,Council District,Property Count
3,4,2981
2,3,1976
0,1,1868
5,6,1636
4,5,1248
32,33,938
1,2,875
50,51,738
47,48,726
18,19,647
49,50,527
38,39,476
22,23,461
34,35,442
19,20,424
46,47,366
42,43,338
45,46,327
43,44,312
28,29,302
37,38,291
31,32,287
33,34,281
48,49,265
29,30,265
35,36,247
23,24,230
25,26,229
12,13,227
21,22,226
26,27,209
24,25,197
27,28,189
44,45,171
30,31,158
8,9,153
10,11,139
20,21,124
7,8,109
39,40,107
6,7,96
11,12,89
40,41,86
41,42,81
9,10,79
36,37,71
17,18,70
14,15,48
16,17,40
13,14,25
15,16,22
