,Borough,Council District,Property Count
28,MANHATTAN,4,2981
27,MANHATTAN,3,1976
25,MANHATTAN,1,1868
30,MANHATTAN,6,1636
29,MANHATTAN,5,1248
9,BROOKLYN,33,938
26,MANHATTAN,2,875
52,STATEN IS,51,738
24,BROOKLYN,48,726
35,QUEENS,19,647
51,STATEN IS,50,527
15,BROOKLYN,39,476
39,QUEENS,23,461
11,BROOKLYN,35,442
36,QUEENS,20,424
23,BROOKLYN,47,366
19,BROOKLYN,43,338
22,BROOKLYN,46,327
20,BROOKLYN,44,312
45,QUEENS,29,302
14,BROOKLYN,38,291
48,QUEENS,32,287
46,QUEENS,30,265
50,STATEN IS,49,265
12,BROOKLYN,36,247
10,BROOKLYN,34,238
40,QUEENS,24,230
42,QUEENS,26,229
3,BRONX,13,227
38,QUEENS,22,226
43,QUEENS,27,209
41,QUEENS,25,197
44,QUEENS,28,189
21,BROOKLYN,45,171
47,QUEENS,31,158
33,MANHATTAN,9,153
1,BRONX,11,139
37,QUEENS,21,124
16,BROOKLYN,40,107
31,MANHATTAN,7,96
2,BRONX,12,89
32,MANHATTAN,8,89
17,BROOKLYN,41,86
18,BROOKLYN,42,81
34,MANHATTAN,10,79
13,BROOKLYN,37,71
8,BRONX,18,70
5,BRONX,15,48
49,QUEENS,34,43
7,BRONX,17,40
4,BRONX,14,25
6,BRONX,16,22
0,BRONX,8,20
