Section,Task,Owner,Due,Status,Artifact
I. Baseline Research,"Complete NYC Agency Architecture Mapping (HPD, HRA, NYCHA, HUD alignment)",Policy Analyst,Week 1,In Progress,Agency Map + Budget Flow Chart
I. Baseline Research,Conduct Literature Grid: Public Equity Transfer + Tenant Ownership Models,Research Team,Week 1-2,In Progress,Annotated Bibliography (APA 7)
I. Baseline Research,Extract Financial Baseline: Current Subsidy Spending & ROI,CFO Analyst,Week 2,Queued,Budget Snapshot (3-yr trend)
II. Drafting,Draft v1 Master Policy Report (20-30pp) with Alternatives,Lead Policy Writer,Week 3-4,Queued,Master_Policy_Report_v1_YYYYMMDD.docx
II. Drafting,Build ROI Model Template (Excel: PACT vs. CLT vs. Ownership Hybrid),Financial Analyst,Week 3,Queued,ROI_Model_Comparison_v1.xlsx
II. Drafting,"Create Stakeholder Briefing Memo (2pp, CFO + Legal review)",Communications,Week 4,Queued,Briefing_Memo_v1_YYYYMMDD.docx
II. Drafting,Draft 1-Pager Executive Summary,Lead Policy Writer,Week 4,Queued,1Pager_Summary_v1_YYYYMMDD.docx
III. Validation,Legal Review: Title VI/IX/504/ADA/HSTPA Compliance,Civil Rights Attorney,Week 7-8,Queued,Legal_Risk_Memo.docx
III. Validation,"Stakeholder Interviews (HPD, NYCHA, HRA, Credit Union Coalition)",Policy Analyst,Week 7-9,Queued,Interview_Summary_Notes.docx
III. Validation,Finalize ROI Model with Real Budget Data (FOIL requests),Financial Analyst,Week 8,Queued,ROI_Model_Final_v2.xlsx
IV. Finalization,Approval + Version Control (v1->v_final),Municipal CFO,Week 10-11,Queued,All Docs v_final in Archive/
IV. Finalization,Generate Slide Deck (15-20pp for mayoral/council briefing),Communications,Week 11,Queued,Briefing_Deck_Final_YYYYMMDD.pptx
IV. Finalization,Publish Deliverables Packet (PDF + Web Summary),Communications,Week 12,Queued,NYC_Housing_Subsidy_Reform_Packet_Final_YYYYMMDD.pdf
